"No.","Time","Source","Destination","Protocol","Length","Info"
"105","1.491589","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1249, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"106","1.645146","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"107","1.647706","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"108","1.715802","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"109","1.730650","","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","10","Acknowledgement, Flags=........"
"110","1.743438","","Draytek_82:23:d0 (00:1d:aa:82:23:d0) (RA)","802.11","10","Acknowledgement, Flags=........"
"111","1.757274","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"112","1.783898","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"113","1.824858","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"114","1.853018","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"115","1.864327","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1254, FN=0, Flags=........, BI=100, SSID=jamnik"
"116","1.865862","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1254, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"117","1.867910","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1254, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"118","1.878664","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1255, FN=0, Flags=........, BI=100, SSID=jamnik"
"119","1.885320","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1255, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"120","1.886856","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1255, FN=0, Flags=....R..., BI=100, SSID=jamnik"
